chars,occurrence
smeagol,50
deagol,4
gollum,29
gandalf,71
frodo,149
gimli,15
sam,76
aragorn,36
man,112
ring,123
hobbit,69
merry,39
men,107
bilbo,24
treebeard,7
saruman,39
theoden,29
soldier,4
soldiers,2
grima,5
orc,49
orcs,32
pippin,31
denethor,7
faramir,20
sauron,35
eomer,6
gamling,3
grimbold,1
legolas,11
boson,1
army,14
people,23
lady,10
eowyn,8
elrond,5
arwen,11
boromir,19
captain,7
uruk-hai,3
haldir,4
rohirrim,2
voice,5
woman,2
hama,1
freda,2
eothain,3
gaffer,4
rosie,3
galadriel,1
strider,7
